Evaluation Number,Fitness Value,Computing Time
2,[0.29031395215914113],0.029517173767089844
3,[0.2050692965384347],0.042258262634277344
4,[0.2050692965384347],0.05529022216796875
5,[0.2050692965384347],0.06869745254516602
6,[0.2050692965384347],0.08216476440429688
7,[0.2050692965384347],0.09670662879943848
8,[0.2050692965384347],0.11021089553833008
9,[0.2050692965384347],0.12178754806518555
10,[0.2050692965384347],0.13153934478759766
11,[0.2050692965384347],0.14282846450805664
12,[0.2050692965384347],0.15465855598449707
13,[0.2050692965384347],0.17138409614562988
