,sub_problem,sub_fval,solution,qaoa_time
0,"[696, 6, 1378, 106, 226, 139, 1046]",0.25977662272180696,[1. 0. 0. 1. 0. 1. 1.],0.9706466197967529
1,"[930, 1435, 616, 1642, 533, 1322, 299]",0.25890928082291786,[0. 1. 0. 1. 1. 0. 0.],0.8408188819885254
2,"[1657, 716, 75, 1245, 1155, 180, 1357]",0.2569090849667173,[1. 0. 1. 0. 1. 1. 0.],0.8541114330291748
3,"[1827, 423, 1156, 1299, 179, 15, 761]",0.25470450068082084,[0. 1. 1. 0. 0. 1. 0.],0.8422598838806152
4,"[708, 659, 1313, 265, 1302, 1119, 941]",0.2541212055735263,[0. 0. 0. 0. 0. 0. 0.],0.8133981227874756
5,"[561, 1191, 878, 16, 785, 1893, 1311]",0.25245940947933265,[1. 0. 1. 1. 0. 0. 1.],0.8446297645568848
6,"[78, 196, 856, 750, 1631, 1773, 1554]",0.2509705044372462,[1. 0. 0. 1. 0. 1. 0.],0.8947179317474365
7,"[1578, 291, 1265, 1355, 50, 353, 830]",0.24939365449706194,[0. 0. 0. 0. 0. 1. 1.],0.9183042049407959
8,"[108, 701, 141, 487, 174, 312, 1258]",0.24732220194102192,[1. 1. 0. 0. 1. 1. 1.],0.8547379970550537
9,"[172, 940, 232, 640, 768, 1738, 185]",0.24686765358534923,[1. 0. 1. 0. 1. 0. 0.],0.8452942371368408
10,"[1533, 1175, 1874, 1770, 1571, 1221, 1344]",0.246414017948139,[0. 1. 0. 0. 1. 1. 0.],0.8589804172515869
11,"[1143, 1881, 946, 1861, 867, 942, 1836]",0.24566524329403466,[0. 0. 0. 0. 0. 0. 0.],0.8248875141143799
12,"[1843, 1331, 929, 977, 1116, 452, 1255]",0.24481948411419113,[0. 0. 0. 0. 0. 1. 0.],0.8609580993652344
13,"[889, 1459, 498, 477, 79, 73, 1709]",0.24438351232543867,[1. 1. 0. 0. 0. 1. 1.],0.8270299434661865
14,"[1868, 1115, 1075, 1276, 119, 366, 1330]",0.24254128918520054,[0. 1. 1. 0. 1. 0. 1.],0.8400969505310059
15,"[147, 1649, 1076, 1799, 1126, 901, 1782]",0.24097523412624583,[0. 0. 1. 0. 1. 0. 0.],0.8291292190551758
16,"[260, 1410, 262, 1422, 1448, 558, 98]",0.23950583469869186,[1. 0. 0. 1. 0. 0. 1.],0.8395993709564209
17,"[47, 1210, 1441, 456, 296, 8, 140]",0.2383519008603389,[1. 0. 0. 0. 0. 0. 1.],0.8374359607696533
18,"[122, 989, 285, 1142, 765, 688, 733]",0.23653548105259817,[1. 1. 1. 1. 0. 1. 0.],0.826286792755127
19,"[1886, 944, 632, 1338, 1307, 1653, 1547]",0.23519916718224684,[0. 1. 0. 0. 1. 0. 0.],0.9675750732421875
20,"[1548, 1675, 1698, 1381, 1152, 1611, 1316]",0.23405678040920108,[1. 0. 1. 0. 0. 1. 0.],0.8501555919647217
21,"[1266, 1328, 130, 1342, 1835, 1752, 1038]",0.23300313558350047,[1. 0. 0. 1. 0. 1. 0.],0.8461191654205322
22,"[1264, 567, 1270, 681, 945, 1376, 181]",0.2320617700473864,[1. 1. 1. 1. 1. 0. 1.],0.8546335697174072
23,"[997, 1842, 1864, 145, 1838, 1464, 599]",0.2311462783574162,[1. 1. 1. 1. 0. 1. 0.],0.8343336582183838
24,"[435, 1000, 1002, 521, 1607, 1667, 439]",0.22984508279027493,[0. 0. 0. 0. 1. 1. 1.],0.8420190811157227
25,"[1237, 321, 1552, 192, 813, 112, 482]",0.22924168618776902,[0. 0. 0. 0. 1. 1. 0.],0.825711727142334
26,"[111, 243, 27, 1504, 430, 1234, 1594]",0.2290501750358864,[0. 0. 0. 1. 0. 0. 0.],0.8021397590637207
27,"[1775, 1632, 1172, 1677, 12, 672, 420]",0.22835106538485853,[0. 0. 0. 1. 1. 1. 0.],0.8346869945526123
28,"[1815, 352, 1456, 1637, 843, 1613, 144]",0.2277118165604913,[0. 0. 1. 0. 1. 0. 1.],0.7562670707702637
29,"[1672, 1158, 1468, 1791, 525, 1713, 1760]",0.2270997845107355,[0. 0. 0. 1. 1. 1. 0.],0.8219985961914062
30,"[674, 885, 756, 1198, 748, 1924, 1660]",0.22645939825789987,[0. 0. 0. 0. 0. 1. 1.],0.8204309940338135
31,"[354, 1444, 1899, 854, 1082, 1715, 118]",0.2260149524766143,[1. 0. 0. 0. 0. 0. 1.],0.846299409866333
32,"[814, 964, 1393, 522, 1582, 54, 326]",0.22500495930999392,[0. 0. 0. 1. 1. 0. 1.],0.9549973011016846
33,"[1809, 553, 1453, 695, 123, 855, 1385]",0.22379152801337526,[0. 0. 0. 1. 1. 1. 0.],0.822824239730835
34,"[1769, 1361, 1680, 1403, 1293, 836, 1883]",0.22149431224852498,[0. 1. 1. 1. 1. 0. 1.],0.8569409847259521
35,"[1273, 315, 1855, 1741, 1244, 1644, 857]",0.21978823500873518,[0. 0. 1. 1. 1. 0. 0.],0.8249688148498535
36,"[800, 734, 1696, 1511, 1332, 1262, 241]",0.21921207258718287,[0. 1. 0. 1. 0. 0. 0.],0.8370151519775391
37,"[325, 767, 261, 1856, 729, 1702, 727]",0.21819355310175353,[0. 0. 0. 0. 1. 0. 0.],0.8305950164794922
38,"[1519, 1463, 573, 1107, 402, 1053, 1898]",0.2172986929843695,[1. 1. 1. 0. 0. 1. 0.],0.8389999866485596
39,"[1365, 542, 433, 58, 1535, 1877, 418]",0.21720641260539766,[1. 1. 0. 0. 1. 1. 0.],0.8279285430908203
40,"[509, 1527, 1688, 1132, 1402, 1875, 1367]",0.21720641260539766,[0. 0. 1. 1. 0. 0. 0.],0.8353970050811768
41,"[912, 468, 1570, 877, 1913, 9, 697]",0.21535088447333398,[0. 1. 0. 0. 0. 1. 1.],0.850196361541748
42,"[151, 1008, 1888, 266, 320, 1670, 1105]",0.21410526079654912,[0. 0. 0. 0. 1. 1. 1.],0.8617873191833496
43,"[391, 663, 1746, 1787, 1546, 991, 21]",0.21401345391464946,[0. 0. 0. 0. 0. 0. 1.],0.8551127910614014
44,"[1803, 865, 1154, 1192, 1193, 864, 791]",0.21313472318339802,[0. 1. 1. 0. 1. 0. 0.],0.849013090133667
45,"[1750, 390, 1101, 904, 947, 870, 1839]",0.21221729401274445,[0. 1. 1. 0. 0. 0. 1.],0.9415216445922852
46,"[1699, 1682, 1810, 578, 1340, 629, 483]",0.2112467938102505,[1. 0. 0. 0. 0. 0. 0.],0.8292701244354248
47,"[685, 445, 178, 341, 917, 657, 1596]",0.21075244485228403,[1. 0. 1. 0. 0. 0. 0.],0.8247387409210205
48,"[1643, 712, 656, 736, 1050, 1807, 1850]",0.20943368015623448,[1. 0. 0. 1. 0. 0. 1.],0.8134369850158691
49,"[1896, 344, 227, 1131, 537, 345, 1229]",0.20799840044894788,[0. 1. 0. 1. 1. 1. 0.],0.8106698989868164
50,"[240, 93, 105, 960, 1073, 336, 422]",0.20748976063462643,[1. 0. 0. 1. 1. 0. 1.],0.7898309230804443
51,"[835, 1308, 1620, 37, 1674, 1779, 1176]",0.20728655308699326,[0. 0. 1. 1. 0. 0. 0.],0.8284115791320801
52,"[1408, 1021, 1462, 546, 1364, 1420, 1523]",0.20661502467317505,[0. 0. 0. 0. 0. 0. 0.],0.8232748508453369
53,"[1085, 781, 678, 1627, 159, 971, 1472]",0.20558607278980426,[0. 0. 0. 1. 0. 1. 0.],0.8582906723022461
54,"[741, 540, 322, 1727, 1916, 1858, 880]",0.20558607278980426,[0. 0. 1. 1. 0. 0. 0.],0.8755455017089844
55,"[441, 249, 1739, 1749, 375, 676, 376]",0.20464056419159263,[0. 1. 1. 0. 1. 1. 0.],0.8708176612854004
56,"[1592, 725, 1164, 1866, 628, 975, 906]",0.203923698308849,[1. 0. 0. 1. 0. 0. 0.],0.8823797702789307
57,"[297, 1430, 191, 1823, 737, 909, 116]",0.2034228365850996,[1. 0. 1. 0. 0. 0. 0.],0.8570859432220459
