Evaluation Number,Fitness Value,Computing Time
2,[0.28781292537748804],0.032846927642822266
3,[0.28781292537748804],0.04862356185913086
4,[0.28781292537748804],0.06447815895080566
5,[0.2696029186071258],0.0787360668182373
6,[0.23009557167965697],0.09222936630249023
7,[0.23009557167965697],0.10644388198852539
8,[0.23009557167965697],0.12043333053588867
9,[0.23009557167965697],0.13634300231933594
10,[0.22991917845569498],0.15063166618347168
11,[0.22991917845569498],0.16633009910583496
12,[0.2102519750502374],0.17935585975646973
13,[0.2102519750502374],0.19578099250793457
