Evaluation Number,Fitness Value,Computing Time
2,[0.29534133291448117],0.029139041900634766
3,[0.29534133291448117],0.04331159591674805
4,[0.28168517150520533],0.05640077590942383
5,[0.28168517150520533],0.07119989395141602
6,[0.236486807596254],0.08491134643554688
7,[0.23324968809193838],0.0946495532989502
8,[0.23101096427798318],0.10749387741088867
9,[0.23101096427798318],0.11854720115661621
10,[0.23101096427798318],0.1312572956085205
11,[0.23101096427798318],0.14412641525268555
12,[0.23101096427798318],0.15645933151245117
13,[0.23101096427798318],0.16829848289489746
