Evaluation Number,Fitness Value,Computing Time
2,[0.25491936402862747],0.5167250633239746
3,[0.24657397585673216],0.7670841217041016
4,[0.24657397585673216],1.0133953094482422
5,[0.2420721418487203],1.2617480754852295
6,[0.2420721418487203],1.5088813304901123
7,[0.2420721418487203],1.7640364170074463
8,[0.2420721418487203],2.0217437744140625
9,[0.23974075100871872],2.273761510848999
10,[0.23974075100871872],2.5265390872955322
11,[0.23974075100871872],2.7902109622955322
12,[0.23974075100871872],3.048956871032715
13,[0.23974075100871872],3.3003761768341064
14,[0.23974075100871872],3.5512173175811768
15,[0.23974075100871872],3.8096652030944824
16,[0.23974075100871872],4.065522193908691
17,[0.23974075100871872],4.322112321853638
18,[0.23974075100871872],4.571751594543457
19,[0.23974075100871872],4.829567909240723
20,[0.23974075100871872],5.088451623916626
21,[0.23974075100871872],5.331749200820923
22,[0.23974075100871872],5.588897943496704
23,[0.23974075100871872],5.849952459335327
24,[0.23974075100871872],6.100791931152344
25,[0.23974075100871872],6.351866006851196
26,[0.23974075100871872],6.607571363449097
27,[0.23974075100871872],6.862660884857178
28,[0.23974075100871872],7.112954616546631
29,[0.23974075100871872],7.364961624145508
30,[0.23974075100871872],7.6171064376831055
31,[0.23974075100871872],7.86492133140564
32,[0.23974075100871872],8.111500263214111
33,[0.23974075100871872],8.362925052642822
34,[0.23974075100871872],8.610143184661865
35,[0.23974075100871872],8.867623329162598
36,[0.23974075100871872],9.124207019805908
37,[0.23974075100871872],9.38205885887146
38,[0.23974075100871872],9.637396574020386
39,[0.23974075100871872],9.8928964138031
40,[0.23974075100871872],10.141382455825806
41,[0.23974075100871872],10.393102645874023
42,[0.23974075100871872],10.649943113327026
43,[0.23974075100871872],10.899863719940186
44,[0.23974075100871872],11.153941869735718
45,[0.23974075100871872],11.412111520767212
46,[0.23974075100871872],11.666229009628296
47,[0.23974075100871872],11.919671535491943
48,[0.23974075100871872],12.172247648239136
49,[0.23974075100871872],12.429148435592651
50,[0.23974075100871872],12.68739628791809
51,[0.23974075100871872],12.943671226501465
52,[0.23974075100871872],13.210458755493164
53,[0.23974075100871872],13.467281103134155
54,[0.23974075100871872],13.725619077682495
55,[0.23974075100871872],13.98779034614563
56,[0.23974075100871872],14.24721908569336
57,[0.23974075100871872],14.497776985168457
58,[0.23974075100871872],14.76218581199646
59,[0.23974075100871872],15.009867668151855
60,[0.23974075100871872],15.26722502708435
61,[0.23974075100871872],15.523734092712402
62,[0.23974075100871872],15.783948421478271
63,[0.23974075100871872],16.029509782791138
64,[0.23974075100871872],16.279909372329712
65,[0.23793879245629485],16.528773546218872
66,[0.23793879245629485],16.787420988082886
67,[0.23793879245629485],17.04094910621643
68,[0.23793879245629485],17.299155235290527
69,[0.23793879245629485],17.55814528465271
70,[0.23793879245629485],17.82113790512085
71,[0.23793879245629485],18.088069438934326
72,[0.23793879245629485],18.342157125473022
73,[0.23793879245629485],18.601951360702515
74,[0.23793879245629485],18.854902505874634
75,[0.23793879245629485],19.113688945770264
76,[0.23793879245629485],19.360886096954346
77,[0.23793879245629485],19.623711824417114
78,[0.23793879245629485],19.87040686607361
79,[0.23793879245629485],20.12056303024292
80,[0.23793879245629485],20.37623119354248
81,[0.23793879245629485],20.628339290618896
82,[0.23793879245629485],20.89362621307373
83,[0.23793879245629485],21.14890432357788
84,[0.23793879245629485],21.40625834465027
85,[0.23793879245629485],21.662413835525513
86,[0.23793879245629485],21.92197895050049
87,[0.23793879245629485],22.166195392608643
88,[0.23793879245629485],22.42118525505066
89,[0.23793879245629485],22.68092942237854
90,[0.23793879245629485],22.937549829483032
91,[0.23793879245629485],23.18853735923767
92,[0.23793879245629485],23.444774389266968
93,[0.23793879245629485],23.69778823852539
94,[0.23793879245629485],23.9579336643219
95,[0.23793879245629485],24.21332359313965
96,[0.23793879245629485],24.455746173858643
97,[0.2376408339578703],24.704427003860474
98,[0.2376408339578703],24.954017162322998
99,[0.2376408339578703],25.204896688461304
100,[0.2376408339578703],25.466144561767578
101,[0.2376408339578703],25.710788249969482
102,[0.2376408339578703],25.965748071670532
103,[0.2376408339578703],26.218905210494995
104,[0.2376408339578703],26.471598625183105
105,[0.2376408339578703],26.71924591064453
106,[0.2376408339578703],26.98108696937561
107,[0.2376408339578703],27.24428367614746
108,[0.2376408339578703],27.499797105789185
109,[0.2376408339578703],27.751761436462402
110,[0.2376408339578703],28.015889644622803
111,[0.2376408339578703],28.273515701293945
112,[0.2376408339578703],28.535884618759155
113,[0.2376408339578703],28.789778232574463
114,[0.2376408339578703],29.04723334312439
115,[0.2376408339578703],29.29804801940918
116,[0.2376408339578703],29.55964469909668
117,[0.2376408339578703],29.819342851638794
118,[0.2376408339578703],30.076188802719116
119,[0.2376408339578703],30.32535409927368
120,[0.2376408339578703],30.572404623031616
121,[0.2376408339578703],30.82773184776306
122,[0.2376408339578703],31.074199199676514
123,[0.2376408339578703],31.342853784561157
124,[0.2376408339578703],31.605870962142944
125,[0.2376408339578703],31.865361213684082
126,[0.2376408339578703],32.120901584625244
127,[0.2376408339578703],32.36415648460388
128,[0.2376408339578703],32.6122887134552
129,[0.2376408339578703],32.85475254058838
130,[0.2376408339578703],33.113693714141846
131,[0.2376408339578703],33.37545728683472
132,[0.2376408339578703],33.63793468475342
133,[0.2376408339578703],33.89087271690369
134,[0.2376408339578703],34.14455533027649
135,[0.2376408339578703],34.40156531333923
136,[0.2376408339578703],34.6628782749176
137,[0.2376408339578703],34.91721987724304
138,[0.2376408339578703],35.18047833442688
139,[0.2376408339578703],35.43580937385559
140,[0.2376408339578703],35.6894326210022
141,[0.2376408339578703],35.94347095489502
142,[0.2376408339578703],36.197067975997925
143,[0.2376408339578703],36.45185422897339
144,[0.2376408339578703],36.702630281448364
145,[0.2376408339578703],36.945318937301636
146,[0.2376408339578703],37.20457482337952
147,[0.2376408339578703],37.45441651344299
148,[0.2376408339578703],37.711979150772095
149,[0.2376408339578703],37.97379517555237
150,[0.2376408339578703],38.225648164749146
151,[0.2376408339578703],38.47525429725647
152,[0.23681180686856695],38.723005294799805
153,[0.23681180686856695],38.97621011734009
154,[0.23681180686856695],39.22614645957947
155,[0.23681180686856695],39.48591423034668
156,[0.23681180686856695],39.74079656600952
157,[0.23681180686856695],40.003567695617676
158,[0.23681180686856695],40.25390577316284
159,[0.23681180686856695],40.50437784194946
160,[0.23681180686856695],40.75285077095032
161,[0.23681180686856695],41.00721979141235
162,[0.23681180686856695],41.26367974281311
163,[0.23681180686856695],41.51828932762146
164,[0.23681180686856695],41.783528327941895
165,[0.23681180686856695],42.046619176864624
166,[0.23681180686856695],42.29109334945679
167,[0.23681180686856695],42.544005155563354
168,[0.23681180686856695],42.797152042388916
169,[0.23681180686856695],43.04998302459717
170,[0.23681180686856695],43.316513538360596
171,[0.23681180686856695],43.561564207077026
172,[0.23681180686856695],43.81042671203613
173,[0.23681180686856695],44.05748224258423
174,[0.23681180686856695],44.308106660842896
175,[0.23681180686856695],44.57168459892273
176,[0.23681180686856695],44.839274644851685
177,[0.23681180686856695],45.09343409538269
178,[0.23681180686856695],45.354148864746094
179,[0.23681180686856695],45.594480991363525
180,[0.23674080048083565],45.8385865688324
181,[0.23674080048083565],46.08398151397705
182,[0.23674080048083565],46.33515381813049
183,[0.23674080048083565],46.59930729866028
184,[0.23674080048083565],46.84970450401306
185,[0.23674080048083565],47.118903160095215
186,[0.23674080048083565],47.38102173805237
187,[0.23674080048083565],47.6445631980896
188,[0.23674080048083565],47.90375566482544
189,[0.23674080048083565],48.15557312965393
190,[0.23674080048083565],48.41340374946594
191,[0.23674080048083565],48.67420697212219
192,[0.23674080048083565],48.92534804344177
193,[0.23674080048083565],49.17968988418579
194,[0.23674080048083565],49.42994141578674
195,[0.23674080048083565],49.68982911109924
196,[0.23674080048083565],49.940858602523804
197,[0.23674080048083565],50.19823169708252
198,[0.23674080048083565],50.4422070980072
199,[0.23674080048083565],50.690699338912964
200,[0.23674080048083565],50.943416118621826
201,[0.23674080048083565],51.196338415145874
202,[0.23674080048083565],51.44835877418518
203,[0.23674080048083565],51.70583629608154
204,[0.23674080048083565],51.95453214645386
205,[0.23674080048083565],52.205450773239136
206,[0.23674080048083565],52.46925687789917
207,[0.23674080048083565],52.72210359573364
208,[0.23674080048083565],52.97293710708618
209,[0.23674080048083565],53.228047132492065
210,[0.23674080048083565],53.4853994846344
211,[0.23674080048083565],53.739975690841675
212,[0.23674080048083565],53.98884105682373
213,[0.23674080048083565],54.24404835700989
214,[0.23674080048083565],54.5065393447876
215,[0.23674080048083565],54.76112961769104
216,[0.23674080048083565],55.017666816711426
217,[0.23674080048083565],55.27565574645996
218,[0.23674080048083565],55.52629780769348
219,[0.23674080048083565],55.773101806640625
220,[0.23674080048083565],56.03402137756348
221,[0.23674080048083565],56.2791051864624
222,[0.23674080048083565],56.53530955314636
223,[0.23674080048083565],56.788880825042725
224,[0.23674080048083565],57.04571294784546
225,[0.23674080048083565],57.29771161079407
226,[0.23674080048083565],57.55829882621765
227,[0.23674080048083565],57.82385492324829
228,[0.23674080048083565],58.087214946746826
229,[0.23674080048083565],58.34821128845215
230,[0.23674080048083565],58.60103917121887
231,[0.23674080048083565],58.848252058029175
232,[0.23674080048083565],59.093889474868774
233,[0.23674080048083565],59.35108661651611
234,[0.23674080048083565],59.60435891151428
235,[0.23674080048083565],59.85965418815613
236,[0.23674080048083565],60.11145377159119
237,[0.23674080048083565],60.36010980606079
238,[0.23674080048083565],60.61440396308899
239,[0.23674080048083565],60.870980978012085
240,[0.23674080048083565],61.12938070297241
241,[0.23674080048083565],61.39232563972473
242,[0.23674080048083565],61.656007528305054
243,[0.23674080048083565],61.909322023391724
244,[0.23674080048083565],62.16568303108215
245,[0.23674080048083565],62.414724349975586
246,[0.23674080048083565],62.673171281814575
247,[0.23674080048083565],62.92600178718567
248,[0.23674080048083565],63.17640805244446
249,[0.23674080048083565],63.425654888153076
250,[0.23674080048083565],63.68035125732422
251,[0.23674080048083565],63.94179344177246
252,[0.23674080048083565],64.20210909843445
253,[0.23674080048083565],64.47692823410034
254,[0.23674080048083565],64.72982978820801
255,[0.23674080048083565],64.97879815101624
256,[0.23674080048083565],65.23908376693726
257,[0.23674080048083565],65.4923038482666
258,[0.23674080048083565],65.75662994384766
259,[0.23674080048083565],66.00955629348755
260,[0.23674080048083565],66.25355529785156
261,[0.23666417012826502],66.50352621078491
262,[0.23666417012826502],66.75223112106323
263,[0.23666417012826502],67.00851368904114
264,[0.23666417012826502],67.25463628768921
265,[0.23666417012826502],67.5115704536438
266,[0.23666417012826502],67.76427459716797
267,[0.23666417012826502],68.01779699325562
268,[0.23666417012826502],68.27349972724915
269,[0.23666417012826502],68.51927185058594
270,[0.23211298108533301],68.76640820503235
271,[0.23211298108533301],69.02166676521301
272,[0.23211298108533301],69.26442861557007
273,[0.23211298108533301],69.51632499694824
274,[0.23211298108533301],69.77429723739624
275,[0.23211298108533301],70.04169344902039
276,[0.23211298108533301],70.29403114318848
277,[0.23211298108533301],70.54973316192627
278,[0.23211298108533301],70.80929827690125
279,[0.23211298108533301],71.06134700775146
280,[0.23211298108533301],71.31267023086548
281,[0.23211298108533301],71.56496524810791
282,[0.23211298108533301],71.81748867034912
283,[0.23211298108533301],72.07076978683472
284,[0.23211298108533301],72.33124351501465
285,[0.23211298108533301],72.5839331150055
286,[0.23211298108533301],72.84073066711426
287,[0.23211298108533301],73.09543967247009
288,[0.23211298108533301],73.35880494117737
289,[0.23211298108533301],73.60995650291443
