,sub_problem,sub_fval,solution,qaoa_time
0,"[1903, 1750, 1888, 62, 819, 347, 336]",0.24648954472522958,[0. 0. 0. 0. 0. 0. 1.],0.8292267322540283
1,"[1479, 155, 154, 699, 1131, 620, 1601]",0.24573913309712225,[1. 0. 0. 0. 1. 1. 1.],0.6627464294433594
2,"[807, 896, 535, 814, 1485, 1519, 758]",0.2450788012159325,[1. 0. 0. 1. 0. 1. 1.],0.6596493721008301
3,"[960, 611, 219, 248, 1626, 1511, 1813]",0.24425729768219717,[1. 0. 0. 0. 1. 0. 1.],0.6535577774047852
4,"[436, 738, 1561, 874, 1198, 1859, 649]",0.24266534059584144,[0. 1. 1. 0. 0. 0. 0.],0.6438477039337158
5,"[993, 1654, 470, 802, 63, 1451, 641]",0.242154743188031,[1. 1. 1. 0. 0. 1. 0.],0.6504006385803223
6,"[1033, 384, 1053, 446, 72, 1435, 1039]",0.24156976073896377,[0. 1. 1. 0. 0. 1. 1.],0.728757381439209
7,"[1896, 1597, 431, 343, 534, 1412, 1414]",0.2411366782199381,[0. 1. 1. 1. 0. 1. 1.],0.6543946266174316
8,"[615, 661, 1316, 1499, 1544, 600, 1056]",0.24109358797788935,[1. 0. 1. 0. 0. 1. 0.],0.6566486358642578
9,"[678, 1163, 1205, 471, 892, 179, 949]",0.2409079485239674,[0. 0. 0. 1. 0. 1. 0.],0.6545407772064209
10,"[1650, 1766, 389, 686, 170, 1777, 449]",0.24072338314057898,[1. 0. 1. 0. 0. 1. 0.],0.6419260501861572
11,"[205, 51, 1819, 71, 1774, 1697, 1623]",0.24055947729701282,[0. 1. 1. 1. 0. 1. 0.],0.6550126075744629
12,"[1624, 875, 1359, 1756, 1716, 1644, 571]",0.23848337566802683,[0. 1. 1. 1. 1. 1. 1.],0.6377487182617188
13,"[1040, 1287, 1801, 480, 986, 1667, 681]",0.23840160210733116,[1. 0. 1. 1. 1. 1. 1.],0.6419720649719238
14,"[567, 1607, 1467, 621, 1078, 1361, 856]",0.23830170381017796,[0. 0. 0. 0. 1. 0. 1.],0.6556284427642822
15,"[958, 1463, 634, 1758, 1448, 1392, 1825]",0.23413386150366752,[1. 1. 1. 1. 1. 0. 1.],0.6483414173126221
16,"[1681, 565, 764, 847, 392, 1351, 251]",0.23387914586648248,[1. 0. 1. 0. 0. 1. 1.],0.6274089813232422
17,"[17, 1235, 141, 826, 145, 1793, 27]",0.23374050832525478,[0. 0. 0. 1. 1. 1. 0.],0.645272970199585
18,"[1080, 91, 333, 800, 1870, 1388, 376]",0.23274514840684374,[0. 1. 0. 0. 1. 1. 1.],0.6217975616455078
19,"[1212, 561, 1242, 524, 1133, 1918, 1748]",0.2324940736313422,[0. 0. 1. 1. 0. 1. 0.],0.649000883102417
20,"[1140, 318, 90, 1284, 1373, 1531, 77]",0.23174412247892304,[0. 0. 1. 1. 0. 1. 1.],0.7418992519378662
21,"[135, 1728, 487, 1657, 808, 931, 473]",0.2313774440588232,[0. 0. 0. 0. 0. 0. 1.],0.6333558559417725
22,"[726, 406, 1678, 1547, 364, 1233, 991]",0.23105418948416948,[0. 0. 1. 0. 0. 1. 0.],0.6232864856719971
23,"[696, 1730, 1200, 1238, 1902, 247, 1087]",0.23068577196982076,[0. 0. 1. 0. 0. 1. 1.],0.6495716571807861
24,"[574, 1911, 1136, 25, 591, 1289, 1514]",0.23023751282226468,[0. 1. 0. 0. 1. 0. 1.],0.6444380283355713
25,"[174, 1321, 1335, 298, 957, 1147, 1246]",0.23000199025107596,[1. 0. 1. 0. 0. 1. 0.],0.6450426578521729
26,"[116, 1271, 163, 462, 1426, 209, 413]",0.22985396853958673,[0. 0. 0. 0. 0. 0. 0.],0.6448719501495361
27,"[88, 52, 493, 1473, 1404, 1673, 916]",0.22976770707638727,[1. 0. 1. 1. 0. 1. 0.],0.6430191993713379
28,"[1354, 670, 1409, 1090, 198, 1438, 923]",0.22856017349344235,[1. 1. 0. 1. 0. 1. 1.],0.6531035900115967
29,"[1771, 1318, 691, 1658, 518, 1454, 7]",0.2283949306565967,[1. 0. 0. 0. 0. 0. 1.],0.654508113861084
30,"[214, 1211, 113, 367, 1084, 1085, 954]",0.22763659717232312,[1. 0. 1. 1. 0. 1. 0.],0.6565952301025391
31,"[1847, 1051, 1007, 1892, 739, 1042, 729]",0.22710764226678426,[0. 1. 1. 0. 1. 1. 0.],0.6552379131317139
32,"[1236, 325, 1536, 772, 1540, 1410, 1413]",0.2252639364469436,[1. 1. 1. 0. 0. 1. 1.],0.654526948928833
33,"[1724, 1395, 625, 200, 1788, 1861, 1279]",0.22452473690617059,[1. 1. 0. 1. 0. 1. 1.],0.6554515361785889
34,"[3, 1064, 201, 1225, 1422, 1151, 1154]",0.2242260982394879,[1. 0. 1. 1. 0. 1. 0.],0.728640079498291
35,"[45, 257, 1693, 89, 169, 1193, 408]",0.2238702520375439,[0. 0. 1. 1. 1. 0. 0.],0.6471009254455566
36,"[246, 1510, 1615, 243, 914, 225, 457]",0.2236407369304156,[1. 0. 0. 0. 0. 1. 0.],0.6477546691894531
37,"[1564, 1122, 967, 230, 740, 1307, 282]",0.22334725187156715,[1. 1. 0. 0. 1. 0. 0.],0.6406936645507812
38,"[161, 481, 1578, 569, 294, 502, 934]",0.22164232238215326,[0. 1. 0. 0. 1. 0. 1.],0.6557414531707764
39,"[1525, 1703, 191, 780, 1864, 284, 315]",0.22106018267153824,[1. 0. 1. 1. 0. 1. 0.],0.6410927772521973
40,"[507, 127, 363, 1474, 1387, 1382, 710]",0.22096069385875258,[0. 0. 0. 1. 1. 1. 0.],0.6408443450927734
41,"[1895, 1217, 725, 1688, 1495, 31, 568]",0.21923545897403007,[1. 0. 0. 0. 1. 1. 1.],0.6502883434295654
42,"[743, 1045, 1852, 554, 1747, 1679, 1189]",0.21848287551935117,[1. 1. 0. 0. 1. 1. 1.],0.6488053798675537
43,"[636, 1642, 1021, 1568, 1178, 1210, 545]",0.21665719260075408,[1. 1. 0. 0. 1. 1. 1.],0.6574289798736572
44,"[1604, 669, 1353, 1676, 1912, 1731, 417]",0.2165200387280288,[0. 0. 1. 0. 0. 0. 1.],0.64898681640625
45,"[828, 330, 519, 525, 647, 1671, 1491]",0.21399369155420067,[0. 1. 0. 1. 1. 1. 1.],0.6487629413604736
46,"[1171, 323, 1234, 1655, 998, 1571, 498]",0.21384078372608792,[1. 0. 0. 1. 0. 1. 1.],0.6505417823791504
47,"[1381, 1836, 584, 1304, 512, 95, 1851]",0.21195945393339694,[0. 0. 1. 1. 1. 1. 1.],0.6394338607788086
48,"[884, 552, 485, 452, 148, 955, 1497]",0.21033245827670244,[1. 1. 0. 0. 1. 1. 0.],0.714479923248291
49,"[348, 221, 946, 1148, 1468, 529, 403]",0.20994800528898128,[0. 1. 0. 0. 0. 1. 0.],0.6482357978820801
50,"[1002, 342, 836, 1802, 447, 829, 48]",0.20866024974755715,[1. 1. 0. 1. 1. 0. 1.],0.6426630020141602
51,"[393, 387, 786, 15, 703, 1873, 1091]",0.20832545416411624,[1. 0. 0. 0. 1. 1. 0.],0.6311261653900146
52,"[1197, 1280, 1660, 1462, 759, 1775, 1882]",0.20803088487362698,[0. 0. 0. 1. 0. 0. 1.],0.6343615055084229
53,"[1345, 484, 1743, 1857, 795, 806, 1686]",0.2066807585885245,[1. 0. 1. 1. 1. 1. 0.],0.636343240737915
54,"[1161, 1153, 1016, 1328, 181, 839, 1639]",0.2064685990883889,[0. 1. 0. 1. 1. 0. 1.],0.6455683708190918
55,"[790, 414, 728, 310, 750, 1106, 41]",0.2063457495145454,[1. 0. 0. 1. 0. 0. 0.],0.6367816925048828
56,"[1013, 527, 305, 349, 873, 1901, 866]",0.2061985376042862,[1. 1. 0. 0. 1. 1. 0.],0.6394860744476318
57,"[841, 1248, 1613, 1231, 1562, 893, 969]",0.20586666107276536,[1. 0. 1. 0. 1. 0. 1.],0.6422998905181885
58,"[301, 1300, 156, 1636, 1879, 114, 1360]",0.2055841446918947,[1. 0. 1. 1. 1. 0. 0.],0.6543736457824707
59,"[468, 300, 1841, 891, 5, 197, 463]",0.20363157618285002,[0. 1. 1. 0. 0. 1. 0.],0.6458852291107178
60,"[653, 1418, 1885, 253, 1183, 1687, 1665]",0.20326874221219346,[1. 0. 1. 1. 0. 0. 1.],0.6592130661010742
61,"[1831, 1254, 762, 1204, 1584, 1273, 610]",0.20247704274737238,[0. 0. 0. 1. 0. 1. 1.],0.7257800102233887
62,"[369, 1407, 1015, 1227, 136, 105, 331]",0.20219060890020008,[1. 0. 1. 1. 1. 0. 0.],0.6479346752166748
63,"[595, 539, 533, 832, 111, 633, 878]",0.20124811061258194,[1. 1. 1. 0. 1. 0. 0.],0.6490647792816162
64,"[1826, 911, 1858, 558, 1129, 1742, 1393]",0.19998802748348155,[0. 1. 1. 1. 0. 0. 0.],0.6450545787811279
65,"[864, 999, 287, 763, 188, 617, 453]",0.19902062319672886,[0. 1. 1. 0. 1. 0. 1.],0.6467230319976807
66,"[1856, 430, 1397, 399, 659, 515, 10]",0.19888289026611686,[0. 0. 0. 0. 1. 0. 1.],0.6410205364227295
67,"[203, 604, 1588, 1586, 1420, 1683, 599]",0.19875988897630817,[1. 0. 0. 0. 0. 0. 1.],0.6461479663848877
68,"[1350, 1356, 1515, 644, 358, 666, 1421]",0.19874632371971887,[1. 0. 1. 0. 0. 0. 1.],0.6293237209320068
69,"[1538, 809, 581, 1453, 532, 1337, 1573]",0.19725929970420264,[1. 0. 0. 1. 0. 1. 0.],0.6460516452789307
70,"[1705, 1115, 1548, 1386, 1055, 1924, 753]",0.19722423411506648,[0. 0. 0. 0. 0. 1. 1.],0.6466069221496582
71,"[1598, 936, 1123, 1247, 885, 1097, 1503]",0.19586310404735294,[1. 1. 0. 1. 1. 1. 0.],0.6465616226196289
72,"[713, 1158, 178, 1872, 1470, 258, 1757]",0.19566110330752073,[0. 0. 0. 1. 0. 1. 0.],0.6480240821838379
73,"[1725, 573, 1182, 1079, 1581, 1656, 1327]",0.1956611033075207,[0. 0. 1. 0. 1. 0. 1.],0.6485462188720703
74,"[360, 1362, 97, 720, 1276, 1520, 1102]",0.19467100258772282,[1. 0. 0. 1. 0. 1. 1.],0.7121403217315674
75,"[1653, 1355, 1465, 1740, 1202, 1689, 320]",0.19369580828165112,[1. 1. 0. 0. 1. 1. 0.],0.6441004276275635
