,sub_problem,sub_fval,solution,qaoa_time
0,"[1427, 1283, 633, 687, 112, 863, 446]",0.24416477675241421,[0. 0. 0. 0. 0. 1. 0.],0.8266994953155518
1,"[534, 1695, 949, 907, 1824, 309, 221]",0.24375091700848628,[0. 1. 0. 0. 1. 1. 1.],0.6653873920440674
2,"[626, 286, 397, 1358, 1662, 271, 339]",0.2413797341440575,[1. 1. 1. 1. 0. 1. 1.],0.6644454002380371
3,"[1132, 1143, 6, 480, 802, 1682, 507]",0.23976952614884744,[0. 0. 1. 1. 0. 1. 0.],0.6633837223052979
4,"[323, 1081, 833, 1313, 307, 1070, 1758]",0.23807708248920817,[0. 1. 1. 0. 1. 0. 1.],0.6674132347106934
5,"[278, 964, 15, 1538, 550, 1773, 95]",0.23722508118949423,[1. 0. 0. 1. 0. 1. 1.],0.6643812656402588
6,"[1582, 587, 1398, 1615, 1376, 1746, 660]",0.2351417458891225,[1. 0. 0. 0. 1. 1. 1.],0.7477467060089111
7,"[1542, 1671, 130, 756, 1277, 1797, 1421]",0.23509723771567972,[1. 1. 0. 0. 0. 1. 1.],0.6805851459503174
8,"[1920, 1598, 190, 1270, 560, 1565, 1616]",0.2345668929942355,[1. 1. 1. 0. 0. 0. 1.],0.6937251091003418
9,"[481, 1752, 1225, 1218, 1219, 476, 1315]",0.23412624645721214,[1. 1. 1. 1. 1. 1. 1.],0.6911883354187012
10,"[1345, 1024, 289, 1496, 490, 1381, 1162]",0.23352038892921764,[1. 1. 0. 1. 0. 0. 1.],0.6859042644500732
11,"[847, 852, 1405, 1808, 895, 327, 716]",0.23339559888633188,[0. 0. 0. 1. 1. 0. 1.],0.6761443614959717
12,"[1110, 1347, 832, 27, 1117, 925, 1579]",0.23304003212771277,[1. 1. 1. 0. 1. 0. 1.],0.6951799392700195
13,"[763, 1139, 510, 920, 64, 1890, 231]",0.23273870174221545,[0. 1. 0. 0. 0. 1. 1.],0.6889441013336182
14,"[1717, 1546, 666, 74, 31, 793, 1258]",0.23176462527739405,[1. 1. 0. 1. 1. 1. 0.],0.6998946666717529
15,"[981, 1518, 853, 684, 1768, 1246, 280]",0.23167691166533358,[1. 0. 1. 0. 0. 0. 0.],0.6753039360046387
16,"[1578, 720, 1262, 456, 1775, 841, 1456]",0.23045363310430378,[0. 1. 0. 0. 0. 1. 0.],0.6882331371307373
17,"[29, 731, 44, 1305, 797, 902, 1735]",0.23032686482023504,[1. 0. 1. 1. 0. 0. 1.],0.7035238742828369
18,"[1513, 302, 1868, 1591, 1809, 685, 743]",0.2286817051936796,[1. 1. 0. 1. 0. 1. 1.],0.6990666389465332
19,"[813, 257, 928, 1394, 1082, 1208, 346]",0.22853824297616127,[0. 0. 0. 1. 1. 0. 0.],0.7958078384399414
20,"[1684, 364, 445, 1659, 734, 254, 1393]",0.22848316311200137,[0. 0. 1. 0. 1. 1. 0.],0.68837571144104
21,"[1804, 407, 1279, 914, 1378, 1640, 1770]",0.2284519867243453,[1. 0. 1. 0. 1. 0. 0.],0.684356689453125
22,"[386, 1084, 264, 1441, 1059, 244, 1584]",0.22764139062860522,[1. 0. 1. 0. 1. 0. 0.],0.7187418937683105
23,"[1129, 1066, 434, 1522, 83, 506, 1922]",0.226711778393865,[1. 1. 1. 1. 1. 0. 0.],0.6834132671356201
24,"[1802, 1320, 1835, 1089, 1831, 1396, 1776]",0.22645227683617197,[1. 1. 1. 1. 0. 0. 0.],0.7041466236114502
25,"[542, 1829, 1364, 1575, 435, 1391, 1300]",0.2263442857026604,[1. 1. 1. 1. 0. 0. 0.],0.7036094665527344
26,"[403, 81, 1625, 109, 1650, 1857, 406]",0.22601143064619336,[0. 0. 0. 1. 1. 1. 0.],0.7060434818267822
27,"[1422, 40, 357, 717, 196, 757, 1489]",0.22570082763092644,[0. 1. 1. 1. 0. 1. 1.],0.702843189239502
28,"[87, 817, 497, 750, 1497, 1014, 1211]",0.2255815983144617,[0. 0. 1. 0. 0. 1. 0.],0.6783876419067383
29,"[766, 1828, 1205, 473, 1273, 1696, 1375]",0.22475825679601305,[0. 0. 0. 1. 1. 1. 1.],0.705512523651123
30,"[1071, 700, 1793, 379, 210, 1183, 285]",0.22475825679601308,[0. 0. 0. 0. 0. 0. 1.],0.6975593566894531
31,"[888, 411, 616, 570, 438, 1633, 1379]",0.2246799720175427,[1. 0. 0. 1. 0. 0. 0.],0.7070906162261963
32,"[1257, 367, 324, 1814, 1126, 747, 994]",0.2245264455277876,[0. 1. 0. 1. 1. 1. 0.],0.7057483196258545
33,"[311, 1552, 1354, 1438, 1483, 374, 150]",0.22343233161983372,[0. 0. 1. 1. 0. 1. 1.],0.7923014163970947
34,"[614, 1722, 645, 821, 38, 1820, 1212]",0.22223211947715565,[1. 1. 0. 1. 0. 0. 0.],0.6922998428344727
35,"[733, 1146, 1842, 1153, 449, 203, 1335]",0.22175061377551158,[0. 1. 0. 1. 0. 1. 1.],0.6878376007080078
36,"[389, 1176, 1531, 840, 1264, 215, 1408]",0.22143779510304978,[1. 0. 1. 0. 0. 1. 0.],0.6826930046081543
37,"[1235, 605, 1032, 1343, 36, 973, 1175]",0.2210824843692351,[0. 1. 1. 1. 1. 0. 0.],0.6687753200531006
