Evaluation Number,Fitness Value,Computing Time
2,[0.23816609351695078],1.510711908340454
3,[0.23816609351695078],2.238110065460205
4,[0.23816609351695078],2.9834024906158447
5,[0.23816609351695078],3.69756817817688
6,[0.20738006458995947],4.440352201461792
7,[0.20738006458995947],5.1557297706604
8,[0.20738006458995947],5.919106721878052
9,[0.20738006458995947],6.6483588218688965
10,[0.20738006458995947],7.392870187759399
11,[0.20738006458995947],8.114424228668213
12,[0.20738006458995947],8.862029552459717
13,[0.20738006458995947],9.609615087509155
14,[0.20738006458995947],10.396458387374878
15,[0.20738006458995947],11.153866291046143
16,[0.20738006458995947],11.89304804801941
17,[0.192717412228557],12.614247798919678
18,[0.192717412228557],13.355879068374634
19,[0.192717412228557],14.09488558769226
20,[0.192717412228557],14.826252460479736
21,[0.192717412228557],15.557892084121704
22,[0.192717412228557],16.29183340072632
23,[0.192717412228557],17.052687168121338
24,[0.192717412228557],17.78530979156494
25,[0.192717412228557],18.513432502746582
26,[0.192717412228557],19.256340503692627
27,[0.192717412228557],20.00257444381714
28,[0.192717412228557],20.736242532730103
29,[0.19052890782876192],21.490843534469604
30,[0.19052890782876192],22.231969594955444
31,[0.19052890782876192],22.965047597885132
32,[0.19052890782876192],23.69918918609619
33,[0.19052890782876192],24.41378402709961
34,[0.1842645292613242],25.150787830352783
35,[0.1842645292613242],25.886424779891968
36,[0.1842645292613242],26.667177200317383
37,[0.1842645292613242],27.418553113937378
38,[0.1842645292613242],28.154420137405396
39,[0.18029202420083995],28.907601594924927
40,[0.18029202420083995],29.632192134857178
41,[0.18029202420083995],30.355112552642822
42,[0.18029202420083995],31.080270290374756
43,[0.18029202420083995],31.802048206329346
44,[0.18029202420083995],32.51618266105652
45,[0.18029202420083995],33.249993562698364
46,[0.18029202420083995],33.996071100234985
47,[0.18029202420083995],34.7489538192749
48,[0.18029202420083995],35.48178029060364
49,[0.18029202420083995],36.22137713432312
50,[0.18029202420083995],36.966073513031006
51,[0.18029202420083995],37.70230054855347
52,[0.18029202420083995],38.44568610191345
53,[0.18029202420083995],39.18814945220947
54,[0.18029202420083995],39.92289113998413
55,[0.18029202420083995],40.64500617980957
56,[0.18029202420083995],41.386876583099365
57,[0.18029202420083995],42.11543536186218
58,[0.18029202420083995],42.86308717727661
59,[0.18029202420083995],43.60847020149231
60,[0.18029202420083995],44.35448908805847
61,[0.18029202420083995],45.11295032501221
62,[0.18029202420083995],45.85895037651062
63,[0.18029202420083995],46.609768867492676
64,[0.18029202420083995],47.354790687561035
65,[0.18029202420083995],48.09543061256409
66,[0.18029202420083995],48.838629961013794
67,[0.18029202420083995],49.5796103477478
68,[0.18029202420083995],50.33720374107361
69,[0.18029202420083995],51.093624114990234
70,[0.18029202420083995],51.813506841659546
71,[0.18029202420083995],52.555200815200806
72,[0.18029202420083995],53.29834055900574
73,[0.18029202420083995],54.03405141830444
74,[0.18029202420083995],54.77551627159119
75,[0.18029202420083995],55.514893531799316
76,[0.18029202420083995],56.241708517074585
77,[0.18029202420083995],56.97489142417908
78,[0.18029202420083995],57.71493363380432
79,[0.18029202420083995],58.43824887275696
80,[0.18029202420083995],59.17513966560364
81,[0.18029202420083995],59.928404808044434
82,[0.18029202420083995],60.67782545089722
83,[0.18029202420083995],61.41952729225159
84,[0.18029202420083995],62.161038398742676
85,[0.18029202420083995],62.88595747947693
86,[0.18029202420083995],63.62918996810913
87,[0.18029202420083995],64.38292074203491
88,[0.18029202420083995],65.12132811546326
89,[0.18029202420083995],65.87567353248596
90,[0.18029202420083995],66.59058856964111
91,[0.18029202420083995],67.33380126953125
92,[0.18029202420083995],68.07031774520874
93,[0.18029202420083995],68.78384160995483
94,[0.18029202420083995],69.51031804084778
95,[0.18029202420083995],70.27526187896729
96,[0.18029202420083995],71.01354598999023
97,[0.18029202420083995],71.74160170555115
98,[0.18029202420083995],72.51024985313416
99,[0.18029202420083995],73.23856329917908
100,[0.18029202420083995],73.98256492614746
101,[0.18029202420083995],74.71387839317322
102,[0.18029202420083995],75.44178986549377
103,[0.18029202420083995],76.17062163352966
104,[0.18029202420083995],76.88768291473389
105,[0.18029202420083995],77.61225152015686
106,[0.18029202420083995],78.34851121902466
107,[0.18029202420083995],79.06075525283813
108,[0.18029202420083995],79.80073547363281
109,[0.18029202420083995],80.53521847724915
110,[0.18029202420083995],81.2636833190918
111,[0.18029202420083995],81.98631191253662
112,[0.18029202420083995],82.71778845787048
113,[0.18029202420083995],83.463369846344
114,[0.18029202420083995],84.17949438095093
115,[0.18029202420083995],84.94391751289368
116,[0.18029202420083995],85.68694806098938
117,[0.18029202420083995],86.41393518447876
118,[0.18029202420083995],87.15997529029846
119,[0.18029202420083995],87.89771366119385
120,[0.18029202420083995],88.60421442985535
121,[0.18029202420083995],89.33607411384583
122,[0.18029202420083995],90.07834506034851
123,[0.18029202420083995],90.82414197921753
124,[0.18029202420083995],91.55086255073547
125,[0.18029202420083995],92.29429125785828
126,[0.18029202420083995],93.0335590839386
127,[0.18029202420083995],93.77078557014465
128,[0.18029202420083995],94.52183961868286
129,[0.18029202420083995],95.2496247291565
130,[0.18029202420083995],95.97689580917358
131,[0.18029202420083995],96.707022190094
132,[0.18029202420083995],97.46999216079712
133,[0.18029202420083995],98.2067518234253
134,[0.18029202420083995],98.94371747970581
135,[0.18029202420083995],99.6775598526001
136,[0.18029202420083995],100.40503764152527
137,[0.18029202420083995],101.13388586044312
138,[0.18029202420083995],101.89203262329102
139,[0.18029202420083995],102.6097719669342
140,[0.18029202420083995],103.35115599632263
141,[0.18029202420083995],104.08183813095093
142,[0.18029202420083995],104.8102536201477
143,[0.18029202420083995],105.54994463920593
144,[0.18029202420083995],106.2811210155487
145,[0.18029202420083995],107.01232767105103
146,[0.18029202420083995],107.75177884101868
147,[0.18029202420083995],108.4960241317749
148,[0.18029202420083995],109.21297287940979
149,[0.18029202420083995],109.93753051757812
150,[0.18029202420083995],110.6612868309021
151,[0.18029202420083995],111.39607810974121
152,[0.18029202420083995],112.12819194793701
153,[0.18029202420083995],112.85257244110107
154,[0.18029202420083995],113.5955879688263
155,[0.18029202420083995],114.32861471176147
156,[0.18029202420083995],115.06919264793396
157,[0.18029202420083995],115.80406951904297
158,[0.18029202420083995],116.5484824180603
159,[0.18029202420083995],117.32065010070801
160,[0.18029202420083995],118.0504822731018
161,[0.18029202420083995],118.78223490715027
162,[0.18029202420083995],119.50082850456238
163,[0.18029202420083995],120.21442532539368
164,[0.18029202420083995],120.95374298095703
165,[0.18029202420083995],121.69475722312927
166,[0.18029202420083995],122.40544128417969
167,[0.18029202420083995],123.12862515449524
168,[0.18029202420083995],123.87919020652771
169,[0.18029202420083995],124.61316442489624
170,[0.18029202420083995],125.34625053405762
171,[0.18029202420083995],126.10758686065674
172,[0.18029202420083995],126.84362721443176
173,[0.18029202420083995],127.56377291679382
174,[0.18029202420083995],128.286376953125
175,[0.18029202420083995],129.01971340179443
176,[0.18029202420083995],129.7252333164215
177,[0.18029202420083995],130.47184658050537
178,[0.18029202420083995],131.20990252494812
179,[0.18029202420083995],131.97325468063354
180,[0.18029202420083995],132.69302678108215
181,[0.18029202420083995],133.41295504570007
182,[0.18029202420083995],134.1388566493988
183,[0.18029202420083995],134.86909866333008
184,[0.18029202420083995],135.60988354682922
185,[0.18029202420083995],136.33410596847534
186,[0.18029202420083995],137.05894923210144
187,[0.18029202420083995],137.79916310310364
188,[0.18029202420083995],138.53073930740356
189,[0.18029202420083995],139.26063323020935
190,[0.18029202420083995],139.99782633781433
191,[0.17858665072539295],140.75201773643494
192,[0.17858665072539295],141.46534776687622
193,[0.17858665072539295],142.2243630886078
194,[0.17858665072539295],142.97844743728638
195,[0.17858665072539295],143.73919439315796
196,[0.17858665072539295],144.47712683677673
197,[0.17858665072539295],145.22538375854492
198,[0.17858665072539295],145.947016954422
199,[0.17858665072539295],146.68310832977295
200,[0.17858665072539295],147.46153020858765
201,[0.17858665072539295],148.2244644165039
202,[0.17858665072539295],148.9607048034668
203,[0.17858665072539295],149.69332337379456
204,[0.17858665072539295],150.41374254226685
205,[0.17858665072539295],151.13347172737122
206,[0.17858665072539295],151.85782599449158
207,[0.17858665072539295],152.59224677085876
208,[0.17858665072539295],153.32605981826782
209,[0.17858665072539295],154.06128883361816
210,[0.17858665072539295],154.78452110290527
211,[0.17858665072539295],155.50791478157043
212,[0.17858665072539295],156.2661371231079
213,[0.17858665072539295],157.00559067726135
214,[0.17858665072539295],157.74396395683289
215,[0.17858665072539295],158.45794343948364
216,[0.17858665072539295],159.17430424690247
217,[0.17858665072539295],159.8970377445221
218,[0.17858665072539295],160.62955784797668
219,[0.17858665072539295],161.36937522888184
220,[0.17858665072539295],162.10922026634216
221,[0.17858665072539295],162.8476219177246
222,[0.17858665072539295],163.57291102409363
223,[0.17858665072539295],164.31335735321045
224,[0.17858665072539295],165.03720784187317
225,[0.17858665072539295],165.78203773498535
226,[0.17858665072539295],166.51157140731812
227,[0.17858665072539295],167.23247909545898
228,[0.17858665072539295],167.97316932678223
229,[0.17858665072539295],168.70235753059387
230,[0.17858665072539295],169.43079280853271
231,[0.17858665072539295],170.1860580444336
232,[0.17858665072539295],170.91638946533203
233,[0.17858665072539295],171.63603115081787
234,[0.17858665072539295],172.36085987091064
235,[0.17858665072539295],173.09775638580322
236,[0.17858665072539295],173.8412115573883
237,[0.17858665072539295],174.59363222122192
238,[0.17858665072539295],175.31686782836914
239,[0.17858665072539295],176.0304307937622
240,[0.17858665072539295],176.76709747314453
241,[0.17858665072539295],177.5279233455658
242,[0.17858665072539295],178.25392866134644
243,[0.17858665072539295],178.98620700836182
244,[0.17858665072539295],179.73239731788635
245,[0.17858665072539295],180.4569444656372
246,[0.17858665072539295],181.20161604881287
247,[0.17858665072539295],181.92843008041382
248,[0.17858665072539295],182.65616393089294
249,[0.17858665072539295],183.39262437820435
250,[0.17858665072539295],184.11944794654846
251,[0.17858665072539295],184.84285426139832
252,[0.17858665072539295],185.5712447166443
253,[0.17858665072539295],186.30090427398682
254,[0.17858665072539295],187.0333092212677
255,[0.17858665072539295],187.76610231399536
256,[0.17858665072539295],188.50859022140503
257,[0.17858665072539295],189.24036598205566
258,[0.17858665072539295],189.96421313285828
259,[0.17858665072539295],190.6990087032318
260,[0.17858665072539295],191.42540884017944
261,[0.17858665072539295],192.15306854248047
262,[0.17858665072539295],192.87103986740112
263,[0.17858665072539295],193.60753107070923
264,[0.17858665072539295],194.33351278305054
265,[0.17858665072539295],195.06356120109558
266,[0.17858665072539295],195.79345226287842
267,[0.17702098323610732],196.52525663375854
268,[0.17702098323610732],197.27127408981323
269,[0.17702098323610732],197.99652528762817
270,[0.17702098323610732],198.72029566764832
271,[0.17702098323610732],199.45148086547852
272,[0.17702098323610732],200.19516587257385
273,[0.17702098323610732],200.89984607696533
274,[0.17702098323610732],201.62343215942383
275,[0.17702098323610732],202.36201786994934
276,[0.17702098323610732],203.09378504753113
277,[0.17702098323610732],203.84116625785828
278,[0.17702098323610732],204.56336855888367
279,[0.17702098323610732],205.29896020889282
280,[0.17702098323610732],206.0259644985199
281,[0.17702098323610732],206.7728362083435
282,[0.17702098323610732],207.52399516105652
283,[0.17702098323610732],208.270587682724
284,[0.17702098323610732],209.04111695289612
285,[0.17702098323610732],209.78137683868408
286,[0.17702098323610732],210.50654888153076
287,[0.17702098323610732],211.2339997291565
288,[0.17702098323610732],211.95494532585144
289,[0.17702098323610732],212.67882013320923
290,[0.17702098323610732],213.4403944015503
291,[0.17702098323610732],214.16819310188293
292,[0.17702098323610732],214.90779995918274
293,[0.17702098323610732],215.64648485183716
294,[0.17702098323610732],216.37481451034546
295,[0.17702098323610732],217.09189987182617
296,[0.17702098323610732],217.79864716529846
297,[0.17702098323610732],218.53135800361633
298,[0.17702098323610732],219.2473976612091
299,[0.17702098323610732],219.96480751037598
300,[0.17702098323610732],220.68474507331848
301,[0.17702098323610732],221.40993452072144
302,[0.17702098323610732],222.15660285949707
303,[0.17702098323610732],222.887268781662
304,[0.17702098323610732],223.62012696266174
305,[0.17702098323610732],224.34954714775085
306,[0.17702098323610732],225.0704436302185
307,[0.17702098323610732],225.80346059799194
308,[0.17702098323610732],226.5379617214203
309,[0.17702098323610732],227.26655888557434
310,[0.17702098323610732],227.9691801071167
311,[0.17702098323610732],228.70649313926697
312,[0.17702098323610732],229.43900299072266
313,[0.17702098323610732],230.1547622680664
314,[0.17702098323610732],230.88171672821045
315,[0.17702098323610732],231.59749150276184
316,[0.17702098323610732],232.31701040267944
317,[0.17702098323610732],233.03896188735962
318,[0.17702098323610732],233.7604992389679
319,[0.17702098323610732],234.49988651275635
320,[0.17702098323610732],235.2587411403656
321,[0.17702098323610732],236.0071678161621
322,[0.17702098323610732],236.72624111175537
323,[0.17702098323610732],237.4706461429596
324,[0.17702098323610732],238.20053958892822
325,[0.17702098323610732],238.91819834709167
326,[0.17702098323610732],239.64801478385925
327,[0.17702098323610732],240.37525963783264
328,[0.17702098323610732],241.10092949867249
329,[0.17702098323610732],241.82283926010132
330,[0.17702098323610732],242.55424618721008
331,[0.17702098323610732],243.28552865982056
332,[0.17702098323610732],244.0180847644806
333,[0.17702098323610732],244.7468867301941
334,[0.17702098323610732],245.4737832546234
335,[0.17702098323610732],246.21489715576172
336,[0.17702098323610732],246.96282815933228
337,[0.17702098323610732],247.69396543502808
338,[0.17702098323610732],248.40974640846252
339,[0.17702098323610732],249.16108512878418
340,[0.17702098323610732],249.89886355400085
341,[0.17702098323610732],250.64117550849915
342,[0.17702098323610732],251.3766884803772
343,[0.17702098323610732],252.11531734466553
344,[0.17702098323610732],252.84295272827148
345,[0.17702098323610732],253.56878805160522
346,[0.17702098323610732],254.2962052822113
347,[0.17702098323610732],255.03307390213013
348,[0.17702098323610732],255.75858783721924
349,[0.17702098323610732],256.49783515930176
350,[0.17702098323610732],257.2350158691406
351,[0.17702098323610732],257.97293519973755
352,[0.17702098323610732],258.7029037475586
353,[0.17702098323610732],259.44695687294006
354,[0.17702098323610732],260.19980669021606
355,[0.17702098323610732],260.93619537353516
356,[0.17702098323610732],261.66265892982483
357,[0.17702098323610732],262.38614439964294
358,[0.17702098323610732],263.087828874588
359,[0.17702098323610732],263.83007621765137
360,[0.17702098323610732],264.54014801979065
361,[0.17702098323610732],265.27583932876587
362,[0.17702098323610732],265.9837200641632
363,[0.17702098323610732],266.7322413921356
364,[0.17702098323610732],267.4766368865967
365,[0.17702098323610732],268.2136731147766
366,[0.17702098323610732],268.9560420513153
367,[0.17702098323610732],269.7004508972168
368,[0.17702098323610732],270.42951917648315
369,[0.17702098323610732],271.15710949897766
370,[0.17702098323610732],271.8900456428528
371,[0.17702098323610732],272.6144368648529
372,[0.17702098323610732],273.3375322818756
373,[0.17702098323610732],274.0724847316742
374,[0.17702098323610732],274.80997228622437
375,[0.17702098323610732],275.54727935791016
376,[0.17702098323610732],276.28108191490173
377,[0.17702098323610732],277.0262942314148
378,[0.17702098323610732],277.7420732975006
379,[0.17702098323610732],278.4616451263428
