,sub_problem,sub_fval,solution,qaoa_time
0,"[1236, 314, 1264, 1237, 891, 621, 69]",0.24055550660034672,[1. 0. 0. 1. 0. 0. 1.],0.8840310573577881
1,"[1835, 1302, 1266, 1829, 1814, 318, 234]",0.23998662586148245,[1. 1. 0. 1. 1. 0. 1.],0.7247622013092041
2,"[664, 1661, 1637, 1922, 571, 739, 1103]",0.2398129873607701,[0. 0. 1. 0. 1. 1. 1.],0.7214319705963135
3,"[106, 639, 445, 1503, 383, 928, 257]",0.23981298736077014,[1. 1. 1. 1. 1. 0. 0.],0.723069429397583
4,"[522, 1879, 585, 1789, 684, 802, 1750]",0.23962846853077904,[0. 1. 1. 1. 0. 0. 0.],0.7194092273712158
5,"[1659, 139, 147, 860, 1091, 388, 1724]",0.2391009390090318,[0. 0. 0. 1. 0. 1. 1.],0.7184431552886963
6,"[1074, 285, 967, 420, 1393, 476, 1367]",0.23897138225542114,[0. 1. 0. 0. 0. 1. 0.],0.6705069541931152
7,"[1482, 215, 41, 628, 116, 959, 841]",0.23842032105130645,[1. 1. 0. 1. 0. 1. 1.],0.7965655326843262
8,"[920, 1006, 1246, 1799, 751, 796, 839]",0.2377566920619072,[0. 1. 0. 1. 1. 1. 0.],0.7125205993652344
9,"[268, 42, 727, 105, 235, 1090, 1569]",0.23580436172353467,[1. 1. 1. 0. 0. 1. 1.],0.7161946296691895
10,"[1907, 311, 1738, 1134, 893, 26, 154]",0.23579579831025413,[0. 0. 1. 1. 0. 1. 0.],0.697718620300293
11,"[1754, 1509, 1782, 1433, 175, 1119, 1759]",0.23478239571525517,[0. 1. 0. 1. 0. 0. 0.],0.7117643356323242
12,"[463, 545, 310, 1502, 936, 1468, 980]",0.23336839008448332,[0. 1. 1. 0. 1. 0. 0.],0.7109241485595703
13,"[1912, 1120, 1883, 1222, 1258, 777, 1897]",0.23326765334569707,[0. 0. 0. 0. 0. 0. 1.],0.7080719470977783
14,"[167, 1412, 1615, 1665, 695, 409, 0]",0.23304702463634763,[1. 1. 0. 1. 0. 0. 1.],0.7138001918792725
15,"[1658, 813, 477, 276, 1184, 1159, 999]",0.23288367021085665,[0. 0. 0. 0. 0. 1. 1.],0.7097947597503662
16,"[1039, 788, 1588, 922, 1220, 606, 1196]",0.23272965026781753,[1. 0. 0. 0. 0. 0. 1.],0.7126979827880859
17,"[644, 1311, 912, 1289, 1514, 836, 191]",0.2309625295491532,[0. 1. 1. 0. 1. 0. 1.],0.6892738342285156
18,"[1181, 707, 848, 407, 1571, 661, 1833]",0.23059609177377596,[0. 1. 1. 0. 1. 0. 1.],0.711237907409668
19,"[902, 723, 1769, 964, 1108, 279, 502]",0.22810970909802644,[0. 1. 1. 0. 1. 1. 0.],0.7048230171203613
20,"[1221, 718, 1904, 1849, 1456, 1007, 221]",0.22786262430715792,[0. 0. 1. 1. 0. 1. 1.],0.8144922256469727
21,"[118, 1831, 823, 1567, 1641, 1271, 1350]",0.22775735022581417,[1. 0. 0. 0. 1. 0. 1.],0.7158663272857666
22,"[1666, 399, 1140, 869, 645, 1333, 1392]",0.22732486078793954,[0. 0. 0. 1. 0. 1. 0.],0.7116007804870605
23,"[1233, 1740, 501, 1706, 506, 101, 222]",0.2270357199603225,[1. 0. 0. 1. 0. 1. 1.],0.6978776454925537
24,"[1702, 1133, 120, 1107, 1176, 1355, 1136]",0.22617667873789032,[1. 0. 0. 0. 0. 1. 0.],0.711773157119751
25,"[35, 366, 1523, 1075, 261, 1542, 374]",0.22400988404343294,[1. 0. 1. 1. 1. 1. 1.],0.707542896270752
26,"[468, 1848, 1227, 1322, 1299, 909, 1046]",0.2232664823086733,[0. 1. 1. 0. 1. 1. 0.],0.7140765190124512
27,"[1802, 1832, 608, 1027, 1169, 1607, 1189]",0.2229988417490489,[1. 1. 1. 1. 0. 0. 1.],0.7164592742919922
28,"[243, 1125, 1129, 1441, 1313, 1123, 1626]",0.2228889891965666,[0. 1. 1. 0. 0. 1. 1.],0.7174129486083984
29,"[898, 1767, 939, 1911, 949, 153, 1775]",0.22229197121278307,[0. 1. 1. 1. 0. 0. 0.],0.716284990310669
30,"[1543, 487, 987, 1527, 412, 1720, 863]",0.2222249086909028,[0. 0. 1. 1. 0. 0. 1.],0.721992015838623
31,"[1127, 1309, 1036, 28, 240, 1011, 1405]",0.22204854158305942,[1. 1. 0. 0. 0. 1. 0.],0.7036550045013428
32,"[1617, 726, 951, 933, 1576, 290, 1261]",0.22153547463607448,[0. 1. 1. 1. 0. 0. 1.],0.7164053916931152
33,"[272, 736, 1556, 74, 1846, 1645, 671]",0.22055170556487785,[1. 0. 1. 1. 0. 0. 1.],0.7147188186645508
34,"[428, 1375, 1358, 1445, 913, 330, 341]",0.21973990147320535,[1. 1. 1. 1. 0. 1. 0.],0.7136917114257812
35,"[1618, 1231, 1817, 1783, 584, 1575, 24]",0.21827873710271958,[0. 0. 0. 1. 1. 1. 0.],0.7997984886169434
36,"[1794, 274, 132, 1736, 1245, 442, 595]",0.21805891014379444,[1. 0. 1. 1. 0. 0. 1.],0.6540327072143555
37,"[255, 1613, 1583, 1366, 447, 730, 1903]",0.21791476838269297,[0. 1. 0. 0. 1. 0. 0.],0.710191011428833
38,"[160, 1089, 1409, 1040, 440, 574, 1631]",0.21777515704231346,[1. 1. 0. 1. 0. 0. 1.],0.7082314491271973
39,"[1538, 523, 1413, 827, 385, 1560, 974]",0.2158762010559392,[1. 1. 1. 0. 1. 1. 1.],0.7160415649414062
40,"[1218, 881, 1052, 1459, 503, 897, 1823]",0.21566129298653494,[1. 0. 1. 1. 0. 1. 0.],0.7099828720092773
41,"[865, 1695, 1085, 811, 1534, 616, 971]",0.2151152390030463,[1. 1. 1. 1. 0. 0. 0.],0.7099025249481201
42,"[1063, 11, 662, 424, 1469, 271, 1101]",0.21355562065071998,[0. 0. 1. 0. 0. 1. 0.],0.7060220241546631
43,"[82, 692, 934, 901, 1795, 1242, 534]",0.213468445632756,[0. 1. 1. 0. 1. 1. 0.],0.7000699043273926
44,"[866, 248, 1870, 1274, 945, 96, 1582]",0.21335053636049,[0. 0. 1. 1. 1. 0. 1.],0.7136843204498291
45,"[535, 1485, 75, 166, 669, 1071, 219]",0.21180695516216042,[0. 0. 0. 1. 0. 0. 0.],0.717613697052002
46,"[1616, 65, 1209, 1082, 1320, 1020, 423]",0.2112870409048263,[1. 0. 1. 1. 1. 1. 0.],0.7169756889343262
47,"[1731, 1801, 1365, 791, 1139, 333, 763]",0.2111401233429886,[0. 1. 0. 0. 1. 0. 0.],0.7174367904663086
48,"[321, 1716, 512, 853, 918, 1888, 368]",0.2109264707543906,[1. 1. 1. 1. 0. 0. 0.],0.721928596496582
49,"[1603, 794, 145, 416, 411, 199, 142]",0.21009990227047198,[0. 1. 1. 1. 0. 0. 1.],0.7180013656616211
50,"[735, 843, 1552, 1338, 1465, 1807, 696]",0.20996014408213168,[1. 0. 0. 0. 0. 1. 0.],0.7991247177124023
51,"[247, 1512, 382, 466, 1448, 531, 115]",0.209568880905667,[1. 0. 1. 1. 1. 1. 0.],0.7133400440216064
52,"[963, 1251, 1521, 437, 940, 1342, 1003]",0.20906705563491423,[1. 1. 1. 1. 0. 1. 1.],0.7160203456878662
53,"[968, 588, 46, 984, 1902, 1820, 1505]",0.20856766525468856,[1. 0. 0. 1. 0. 0. 0.],0.7164425849914551
54,"[1714, 474, 917, 1866, 358, 461, 568]",0.20800287735773493,[0. 0. 0. 1. 0. 1. 1.],0.6950314044952393
55,"[250, 1360, 6, 1310, 258, 1421, 1373]",0.2078011050963567,[0. 0. 1. 0. 1. 1. 0.],0.701106071472168
56,"[883, 1464, 1255, 1884, 189, 179, 591]",0.20741909639680808,[0. 1. 0. 1. 1. 1. 1.],0.714012861251831
57,"[1885, 378, 720, 492, 1170, 1047, 68]",0.20535544711368317,[1. 1. 1. 0. 0. 1. 1.],0.7147641181945801
58,"[1295, 1423, 286, 560, 190, 1687, 1455]",0.20525627429335946,[1. 0. 1. 0. 0. 0. 1.],0.6992263793945312
59,"[651, 1002, 155, 1743, 1519, 976, 829]",0.20513370750710005,[0. 1. 0. 1. 1. 0. 0.],0.7134652137756348
60,"[1397, 97, 1643, 1597, 1766, 1895, 340]",0.20346296633142585,[0. 0. 1. 1. 0. 1. 1.],0.7124679088592529
61,"[1824, 780, 316, 542, 317, 431, 1248]",0.2012760055089661,[1. 1. 0. 1. 0. 1. 0.],0.7051210403442383
62,"[1273, 1595, 500, 515, 1260, 1830, 1099]",0.20094574541755214,[1. 0. 0. 0. 0. 0. 1.],0.7121000289916992
63,"[1555, 209, 1546, 1821, 1787, 1557, 1648]",0.20022741862030757,[0. 0. 1. 0. 1. 0. 1.],0.7136960029602051
64,"[1537, 1380, 1858, 185, 733, 975, 650]",0.19991519777530162,[1. 0. 1. 0. 0. 0. 1.],0.8097081184387207
65,"[809, 544, 469, 135, 1507, 413, 242]",0.19944307278457785,[0. 0. 1. 0. 1. 0. 0.],0.7034487724304199
66,"[1646, 312, 1073, 1167, 749, 764, 677]",0.19850187385634677,[0. 1. 0. 1. 1. 1. 1.],0.7130122184753418
