,sub_problem,sub_fval,solution,qaoa_time
0,"[1588, 608, 1348, 977, 864, 837, 649]",0.24683250421294112,[0. 1. 1. 0. 0. 0. 0.],0.8406546115875244
1,"[1126, 479, 1702, 249, 728, 1252, 518]",0.2445220437659661,[1. 0. 1. 0. 0. 1. 1.],0.6804285049438477
2,"[429, 656, 922, 536, 151, 1389, 626]",0.24391323082517355,[0. 0. 0. 1. 1. 1. 1.],0.6763143539428711
3,"[1206, 1597, 587, 1557, 1521, 1744, 1874]",0.24374134238444284,[0. 1. 0. 1. 1. 1. 1.],0.6705377101898193
4,"[558, 1502, 1390, 720, 1689, 1218, 643]",0.24255871855245337,[1. 0. 0. 1. 1. 1. 1.],0.6625874042510986
5,"[793, 1319, 808, 1559, 1288, 786, 622]",0.2421440496806908,[1. 0. 0. 0. 1. 0. 0.],0.6668095588684082
6,"[1617, 498, 97, 1732, 1366, 1619, 566]",0.2417404838329924,[0. 1. 0. 1. 0. 0. 0.],0.7590367794036865
7,"[1745, 1805, 1157, 1362, 1835, 61, 487]",0.24158597825780903,[0. 0. 1. 0. 1. 0. 0.],0.6603643894195557
8,"[87, 169, 774, 224, 1178, 674, 988]",0.2401362286917463,[0. 1. 0. 1. 1. 0. 1.],0.6695029735565186
9,"[1031, 128, 1061, 1356, 782, 654, 1467]",0.23997671573806972,[0. 0. 0. 1. 0. 1. 0.],0.6599857807159424
10,"[937, 1882, 90, 1301, 1175, 597, 1295]",0.23915422214300325,[0. 1. 1. 1. 0. 0. 1.],0.6621990203857422
11,"[513, 379, 167, 1302, 502, 579, 1382]",0.23866298829136318,[1. 0. 1. 1. 0. 0. 1.],0.6644477844238281
12,"[524, 1901, 897, 1240, 1520, 1400, 850]",0.23767062695323704,[1. 1. 1. 0. 1. 1. 0.],0.6650614738464355
13,"[1860, 359, 1894, 1837, 676, 1152, 1058]",0.23751821698958808,[1. 0. 1. 1. 1. 0. 0.],0.6597421169281006
14,"[161, 1784, 1495, 810, 537, 42, 933]",0.23733259068862475,[0. 0. 1. 0. 0. 1. 1.],0.6632800102233887
15,"[1815, 495, 132, 1210, 171, 1665, 1289]",0.23693146934635714,[1. 1. 1. 1. 1. 1. 0.],0.6679379940032959
16,"[265, 1758, 378, 1546, 1012, 1052, 938]",0.23600318855156183,[0. 1. 1. 1. 0. 1. 0.],0.6589634418487549
17,"[1086, 723, 433, 613, 529, 978, 1110]",0.23580273516181632,[1. 1. 1. 0. 1. 0. 1.],0.6624207496643066
18,"[1165, 1331, 759, 1070, 1248, 1677, 100]",0.23495524479331892,[0. 0. 0. 0. 0. 1. 1.],0.6614348888397217
19,"[226, 1909, 1830, 1292, 1114, 397, 139]",0.2345498115350409,[1. 0. 0. 0. 0. 1. 0.],0.6691014766693115
20,"[1359, 1242, 1601, 828, 757, 1787, 854]",0.23225763129522806,[1. 1. 1. 0. 1. 1. 1.],0.7378547191619873
21,"[507, 464, 1499, 1540, 840, 1768, 966]",0.2313439630534852,[0. 1. 0. 0. 0. 0. 1.],0.671668291091919
22,"[43, 910, 300, 1453, 1097, 661, 333]",0.2311245006144842,[0. 1. 1. 1. 1. 0. 0.],0.6678557395935059
23,"[1084, 1747, 1885, 1636, 1508, 1436, 1068]",0.22873797526440454,[0. 1. 1. 1. 1. 0. 1.],0.6669149398803711
24,"[875, 660, 694, 522, 221, 1537, 1645]",0.22690117150186415,[1. 1. 1. 0. 1. 1. 0.],0.6639130115509033
25,"[52, 1179, 289, 607, 1355, 708, 1782]",0.22670974046975922,[0. 0. 0. 0. 1. 1. 0.],0.670215368270874
26,"[1213, 979, 762, 1648, 1810, 473, 216]",0.22669066788719267,[0. 0. 0. 1. 0. 1. 0.],0.662860631942749
27,"[1893, 499, 1188, 1633, 645, 310, 700]",0.22665617456722287,[0. 1. 0. 0. 0. 1. 0.],0.6617600917816162
28,"[387, 1802, 309, 1109, 1623, 15, 747]",0.2264730927078759,[0. 1. 1. 0. 0. 0. 1.],0.669086217880249
29,"[1501, 480, 194, 1211, 746, 725, 530]",0.22633332889134497,[0. 1. 1. 0. 1. 0. 0.],0.6672086715698242
30,"[1567, 899, 292, 28, 572, 1379, 415]",0.22618332101316935,[0. 1. 0. 0. 1. 0. 0.],0.6672985553741455
31,"[1406, 737, 10, 511, 631, 1773, 1733]",0.22505293722041203,[1. 0. 1. 1. 0. 1. 1.],0.6488964557647705
32,"[1055, 1396, 317, 1771, 500, 1611, 682]",0.22379438591722167,[0. 0. 0. 1. 0. 0. 0.],0.6700124740600586
33,"[1105, 152, 14, 1529, 1485, 1886, 335]",0.22300413108392386,[1. 1. 0. 1. 0. 1. 1.],0.6668860912322998
34,"[918, 592, 1394, 738, 74, 1130, 1144]",0.2229083062780092,[0. 1. 1. 1. 1. 0. 0.],0.7479760646820068
35,"[135, 1880, 1650, 1482, 1572, 8, 1905]",0.22275336926421443,[0. 0. 1. 1. 0. 0. 1.],0.6411049365997314
36,"[1158, 783, 1429, 877, 1100, 951, 450]",0.22198249137307516,[0. 0. 1. 1. 0. 1. 1.],0.6684732437133789
37,"[906, 589, 368, 1543, 1606, 1177, 1050]",0.22097985658275335,[1. 0. 0. 0. 1. 0. 1.],0.6642613410949707
38,"[1525, 1264, 1376, 865, 1632, 627, 302]",0.22012861893545582,[1. 0. 1. 1. 0. 0. 1.],0.6538422107696533
39,"[1054, 1408, 571, 863, 1013, 733, 1478]",0.21976693058164293,[0. 0. 1. 1. 1. 0. 1.],0.6602036952972412
40,"[1027, 1250, 435, 1705, 150, 1473, 365]",0.21952761289167147,[1. 0. 0. 0. 1. 1. 0.],0.6630880832672119
41,"[1316, 930, 214, 374, 1469, 1251, 504]",0.218818484394932,[1. 1. 1. 1. 0. 1. 1.],0.6594784259796143
42,"[1565, 1294, 1415, 1462, 1203, 1136, 1005]",0.21840881640234053,[0. 1. 0. 1. 0. 0. 1.],0.6630604267120361
43,"[180, 904, 1163, 1405, 763, 175, 1760]",0.21770774471968826,[1. 1. 0. 0. 0. 0. 0.],0.6601517200469971
44,"[146, 1843, 1464, 826, 1922, 719, 412]",0.21754006234697762,[0. 1. 1. 1. 0. 1. 0.],0.6549830436706543
45,"[1620, 534, 234, 363, 1697, 108, 1595]",0.21545995335578497,[0. 0. 1. 0. 1. 0. 0.],0.6400878429412842
46,"[891, 1145, 1667, 109, 705, 1490, 5]",0.2152226422474911,[0. 1. 1. 1. 0. 1. 0.],0.6584222316741943
47,"[1888, 477, 1629, 1624, 1720, 1913, 384]",0.21503291905620223,[0. 0. 0. 0. 0. 1. 1.],0.6529214382171631
48,"[712, 106, 849, 1338, 568, 1368, 526]",0.21415805341085895,[0. 1. 1. 0. 1. 1. 0.],0.7341210842132568
49,"[408, 34, 1297, 1526, 399, 883, 1234]",0.21400206142960165,[0. 0. 1. 0. 0. 0. 0.],0.6554179191589355
50,"[569, 1282, 1007, 17, 1256, 1276, 1330]",0.21374370636503873,[0. 0. 1. 0. 1. 0. 0.],0.6478939056396484
51,"[1861, 1594, 1028, 936, 1025, 1425, 834]",0.21187899655708933,[1. 1. 0. 1. 1. 1. 0.],0.6514670848846436
52,"[1363, 284, 293, 539, 13, 1118, 1212]",0.2105129231369234,[0. 1. 1. 1. 0. 1. 0.],0.6527056694030762
53,"[1351, 946, 1111, 157, 199, 421, 743]",0.20867300348193804,[1. 0. 0. 0. 0. 1. 1.],0.6555116176605225
54,"[1093, 908, 1104, 319, 440, 768, 254]",0.20760046815566505,[1. 0. 0. 1. 0. 1. 1.],0.6544747352600098
55,"[964, 1609, 787, 758, 467, 2, 1082]",0.20742095361580018,[0. 1. 0. 1. 0. 1. 1.],0.6390419006347656
56,"[1081, 1278, 332, 780, 1637, 1791, 1727]",0.20483719970921027,[1. 0. 0. 1. 1. 1. 0.],0.6516473293304443
57,"[1614, 147, 1570, 667, 665, 193, 1679]",0.20458542337194158,[1. 0. 1. 1. 1. 0. 1.],0.6546213626861572
58,"[1668, 475, 1281, 1518, 212, 751, 1902]",0.20306899214505186,[1. 1. 1. 0. 1. 1. 0.],0.6511573791503906
59,"[755, 785, 1441, 1857, 206, 975, 1440]",0.2003132956352664,[1. 0. 0. 1. 0. 0. 1.],0.6573126316070557
60,"[381, 1196, 570, 688, 630, 1869, 1066]",0.19990427177387593,[0. 1. 1. 0. 0. 1. 1.],0.6499679088592529
61,"[1285, 628, 1266, 1170, 761, 380, 1804]",0.19970586670699012,[0. 1. 0. 0. 1. 1. 1.],0.747138261795044
62,"[999, 1239, 1245, 1155, 1047, 398, 827]",0.19740473239635692,[1. 0. 0. 1. 1. 1. 0.],0.6440484523773193
63,"[1219, 463, 86, 33, 1270, 1327, 620]",0.1968827657639462,[1. 0. 0. 0. 0. 1. 1.],0.6492173671722412
64,"[1797, 519, 634, 144, 789, 342, 178]",0.19626251865315195,[1. 0. 1. 1. 1. 1. 0.],0.6447665691375732
65,"[1004, 1072, 671, 1864, 148, 1009, 186]",0.19593409601360093,[0. 0. 1. 0. 1. 0. 0.],0.6475026607513428
66,"[1423, 848, 411, 574, 1000, 1858, 771]",0.1951264900495849,[0. 1. 0. 0. 0. 1. 1.],0.6593935489654541
67,"[1279, 1852, 1426, 1460, 796, 1187, 1372]",0.19478758081601452,[1. 0. 0. 0. 1. 1. 1.],0.6636579036712646
68,"[366, 1781, 633, 765, 316, 1749, 1060]",0.19379696368962093,[0. 0. 0. 1. 0. 1. 0.],0.661597490310669
69,"[1010, 1505, 509, 1113, 436, 241, 1709]",0.19318995824432883,[0. 0. 1. 1. 0. 0. 1.],0.6627626419067383
70,"[1253, 1449, 652, 1249, 288, 1561, 1034]",0.19277377239694118,[0. 0. 1. 0. 0. 0. 1.],0.6623663902282715
71,"[818, 1911, 651, 323, 326, 538, 721]",0.19194444183429263,[0. 0. 0. 0. 0. 1. 0.],0.6610167026519775
72,"[11, 1865, 1, 164, 1772, 361, 1794]",0.19157921629994495,[0. 1. 0. 0. 1. 1. 1.],0.6602437496185303
73,"[873, 138, 1039, 306, 1544, 149, 1420]",0.19128766969879513,[1. 0. 1. 1. 0. 1. 0.],0.6604843139648438
74,"[158, 716, 1844, 1906, 1471, 739, 486]",0.19108301236858655,[1. 1. 1. 0. 0. 1. 1.],0.6438028812408447
75,"[338, 822, 1657, 1300, 679, 547, 1736]",0.19072211202723574,[0. 0. 0. 0. 1. 0. 1.],0.7267332077026367
76,"[383, 517, 348, 130, 1184, 582, 788]",0.1905465309440869,[1. 1. 0. 0. 0. 1. 0.],0.650554895401001
77,"[1465, 1779, 208, 454, 1477, 271, 734]",0.18966187967786666,[0. 1. 1. 0. 0. 1. 1.],0.6628475189208984
78,"[714, 275, 446, 1759, 962, 940, 385]",0.1895586320536461,[0. 0. 0. 0. 1. 0. 0.],0.6475687026977539
79,"[1616, 1095, 1868, 1630, 55, 183, 1516]",0.18922233201618469,[1. 0. 0. 1. 0. 0. 0.],0.6589183807373047
80,"[1808, 290, 460, 75, 845, 336, 1831]",0.1883444975759354,[1. 0. 0. 0. 0. 1. 0.],0.6628997325897217
81,"[658, 704, 1447, 18, 1855, 1398, 1767]",0.18748156445277633,[0. 0. 1. 0. 0. 0. 1.],0.6611719131469727
82,"[804, 1078, 609, 1723, 638, 465, 699]",0.18727599292698444,[0. 1. 1. 0. 1. 1. 0.],0.6292047500610352
83,"[1191, 824, 881, 1670, 1696, 215, 272]",0.18704661377439738,[0. 1. 0. 0. 1. 1. 1.],0.6633462905883789
84,"[1313, 1740, 263, 165, 46, 740, 535]",0.18641892922820957,[0. 0. 0. 1. 0. 1. 0.],0.6618688106536865
85,"[413, 1534, 425, 445, 353, 955, 512]",0.18528905192079534,[0. 0. 1. 1. 1. 1. 1.],0.6609265804290771
86,"[1862, 1879, 1692, 1101, 1910, 1519, 683]",0.1851514765238875,[1. 1. 0. 0. 1. 1. 1.],0.6632800102233887
87,"[490, 876, 750, 692, 1496, 1801, 1730]",0.18484345400861582,[0. 1. 0. 1. 1. 1. 0.],0.6577274799346924
88,"[1824, 329, 375, 777, 1887, 294, 1427]",0.18458238904962443,[1. 0. 0. 0. 0. 1. 0.],0.7256824970245361
89,"[407, 1092, 1899, 1625, 1708, 1707, 1233]",0.18403984549161578,[0. 1. 0. 0. 1. 1. 1.],0.6573529243469238
90,"[345, 892, 664, 51, 1146, 562, 1527]",0.18394477424199338,[0. 0. 0. 1. 1. 1. 1.],0.6658451557159424
91,"[1303, 1793, 967, 488, 92, 1542, 266]",0.18390050521324883,[1. 0. 0. 0. 0. 1. 0.],0.664039134979248
92,"[1548, 819, 995, 841, 373, 1442, 1686]",0.18254203402053684,[0. 0. 0. 1. 1. 1. 0.],0.6556570529937744
93,"[872, 1326, 596, 1042, 974, 1795, 262]",0.18209748670453257,[0. 0. 1. 1. 1. 1. 0.],0.6661920547485352
94,"[1491, 1811, 251, 217, 39, 1851, 104]",0.1807976623170084,[1. 1. 1. 0. 1. 1. 1.],0.663794994354248
95,"[314, 349, 177, 1227, 961, 614, 327]",0.18059435590197415,[0. 0. 0. 1. 1. 1. 0.],0.6704764366149902
96,"[625, 1900, 210, 1365, 635, 1260, 237]",0.1802642400665208,[0. 0. 0. 0. 1. 0. 0.],0.6549830436706543
97,"[1766, 1246, 1172, 242, 101, 414, 37]",0.17954294286464403,[0. 0. 1. 0. 0. 0. 1.],0.6605920791625977
98,"[372, 285, 912, 222, 1161, 65, 701]",0.17790363513177346,[1. 1. 1. 1. 0. 0. 0.],0.6609988212585449
99,"[1814, 125, 791, 41, 604, 1695, 968]",0.17783156331735117,[1. 1. 0. 0. 0. 0. 1.],0.6613547801971436
100,"[769, 965, 915, 1166, 1076, 1090, 1878]",0.17745080220346554,[1. 0. 0. 1. 0. 1. 1.],0.6572434902191162
101,"[741, 1684, 1153, 767, 1660, 1122, 1763]",0.17725371219067393,[0. 0. 1. 0. 0. 1. 1.],0.721027135848999
