,sub_problem,sub_fval,solution,qaoa_time
0,"[351, 220, 469, 1908, 383, 506, 1446]",0.25465308387255287,[1. 1. 0. 0. 0. 0. 1.],0.7773430347442627
1,"[539, 1815, 150, 1258, 498, 1661, 761]",0.2533134677786018,[0. 0. 0. 1. 0. 1. 0.],0.6818962097167969
2,"[1115, 121, 483, 641, 1095, 124, 512]",0.2518011357314963,[1. 1. 0. 1. 1. 1. 1.],0.6868762969970703
3,"[1752, 415, 1584, 1779, 682, 582, 1902]",0.25041586996957405,[1. 1. 1. 0. 0. 1. 1.],0.6845791339874268
4,"[1329, 1745, 106, 1595, 1905, 375, 758]",0.24975113421220677,[0. 1. 1. 1. 0. 1. 1.],0.6928308010101318
5,"[1508, 876, 287, 1040, 1169, 1318, 337]",0.24897289882129886,[0. 0. 0. 0. 1. 0. 0.],0.7071537971496582
6,"[1004, 451, 201, 1444, 319, 1230, 1679]",0.24849445072907847,[0. 0. 0. 0. 1. 1. 0.],0.7971758842468262
7,"[777, 1535, 355, 1688, 1604, 1402, 973]",0.24686516951003362,[1. 1. 0. 1. 1. 0. 0.],0.7221899032592773
8,"[597, 908, 143, 993, 329, 1734, 1726]",0.24618218464305527,[1. 1. 1. 1. 1. 0. 0.],0.728665828704834
9,"[212, 1043, 1301, 894, 363, 658, 1161]",0.24513968146723927,[0. 0. 0. 0. 0. 1. 1.],0.736475944519043
10,"[865, 1148, 975, 225, 585, 1038, 937]",0.2450718421866394,[1. 1. 0. 1. 1. 0. 1.],0.7358388900756836
11,"[922, 424, 1228, 70, 1698, 86, 1273]",0.24457896310342417,[1. 0. 1. 0. 1. 0. 0.],0.7355034351348877
12,"[1459, 954, 1872, 1660, 407, 1875, 1853]",0.24446648836639623,[1. 1. 0. 1. 0. 0. 1.],0.7291088104248047
13,"[1293, 1153, 283, 1832, 1338, 1432, 863]",0.2430573197825704,[1. 1. 0. 1. 0. 1. 0.],0.7400739192962646
14,"[369, 765, 1172, 473, 528, 1196, 1302]",0.2421039570488459,[0. 0. 0. 0. 1. 1. 0.],0.7316327095031738
15,"[1093, 403, 574, 1277, 1490, 1337, 1865]",0.24136482919944413,[0. 1. 0. 0. 0. 0. 1.],0.7267937660217285
16,"[17, 25, 1371, 1593, 332, 569, 318]",0.24020563217670018,[1. 0. 1. 0. 0. 0. 1.],0.7224249839782715
17,"[314, 65, 1292, 936, 655, 1553, 1721]",0.23925772767490627,[1. 0. 1. 1. 1. 0. 1.],0.7197010517120361
18,"[1613, 1867, 1598, 1462, 1345, 1774, 475]",0.23860482495475155,[0. 0. 0. 0. 0. 0. 0.],0.7256169319152832
19,"[1386, 488, 1158, 629, 1083, 1223, 265]",0.2379272266929998,[1. 0. 0. 0. 0. 1. 0.],0.8095953464508057
20,"[1641, 1087, 1621, 657, 953, 981, 1554]",0.2370430618336588,[1. 0. 1. 0. 0. 1. 0.],0.7214682102203369
21,"[899, 97, 1464, 976, 1266, 1116, 736]",0.23634042393745947,[0. 1. 1. 1. 1. 0. 1.],0.7299129962921143
