Evaluation Number,Fitness Value,Computing Time
2,[0.23664415439680503],0.029221057891845703
3,[0.23664415439680503],0.04471921920776367
4,[0.23664415439680503],0.05605340003967285
5,[0.23664415439680503],0.06829357147216797
6,[0.23664415439680503],0.08151841163635254
7,[0.23664415439680503],0.09415316581726074
8,[0.2304292865409973],0.10494875907897949
9,[0.2304292865409973],0.11784958839416504
10,[0.2304292865409973],0.1304914951324463
11,[0.2151361604734219],0.14141058921813965
12,[0.2151361604734219],0.15431833267211914
13,[0.2151361604734219],0.16658592224121094
