Evaluation Number,Fitness Value,Computing Time
2,[0.23406343133618207],0.02867889404296875
3,[0.22549110149641466],0.04214930534362793
4,[0.22549110149641466],0.056201934814453125
5,[0.22549110149641466],0.07182931900024414
6,[0.22549110149641466],0.08811163902282715
7,[0.22549110149641466],0.10239171981811523
8,[0.22549110149641466],0.11510419845581055
9,[0.22549110149641466],0.12929534912109375
10,[0.22549110149641466],0.14069867134094238
11,[0.22549110149641466],0.15637803077697754
12,[0.22549110149641466],0.17119526863098145
13,[0.22549110149641466],0.18418335914611816
